Id;Designator;Footprint;Quantity;Comment;Supplier and ref;;
1;C1, C2, C7, C8, C9;C_0402_1005Metric;5;100nF;;;
2;C3, C5, C6;C_0402_1005Metric;3;1uF;;;
3;C4;C_1210_3225Metric;1;1F/5.5V;;;
4;C10, C11;C_0402_1005Metric;2;22pF;;;
5;D1;LED_0603_1608Metric;1;Green;;;
6;D2;LED_D5.0mm;1;IR_940nm;;;
7;D3, D4, D5;D_SOD-323;3;BAT54;;;
8;J1;SolderWire-0.5sqmm_1x02_P4.6mm_D0.9mm_OD2.1mm;1;Solar_Panel;;;
9;J2;USB_C_Receptacle_HRO_TYPE-C-31-M-12;1;USB_C_Receptacle_USB2.0_14P;;;
10;J3;SolderWire-0.5sqmm_1x02_P4.6mm_D0.9mm_OD2.1mm;1;Solar_Panel_Back;;;
11;Q1;SOT-23;1;Q_NPN;;;
12;R1;R_0402_1005Metric;1;100;;;
13;R2, R9;R_0402_1005Metric;2;10k;;;
14;R3;R_0402_1005Metric;1;330;;;
15;R4;R_0402_1005Metric;1;1k;;;
16;R5;R_0805_2012Metric;1;10;;;
17;R6;R_0402_1005Metric;1;22;;;
18;R7, R8;R_0402_1005Metric;2;5.1k;;;
19;SW1;SW_SPST_B3U-1000P;1;Power;;;
20;SW2;SW_SPST_B3U-1000P;1;Up;;;
21;SW3;SW_SPST_B3U-1000P;1;Mute;;;
22;SW4;SW_SPST_B3U-1000P;1;Left;;;
23;SW5;SW_SPST_B3U-1000P;1;Select;;;
24;SW6;SW_SPST_B3U-1000P;1;Right;;;
25;SW7;SW_SPST_B3U-1000P;1;Vol-;;;
26;SW8;SW_SPST_B3U-1000P;1;Down;;;
27;SW9;SW_SPST_B3U-1000P;1;Vol+;;;
28;SW10;SW_SPST_B3U-1000P;1;Back;;;
29;SW11;SW_SPST_B3U-1000P;1;Home;;;
30;SW12;SW_SPST_B3U-1000P;1;Source;;;
31;SW13;SW_SPST_B3U-1000P;1;C1;;;
32;SW14;SW_SPST_B3U-1000P;1;C2;;;
33;SW15;SW_SPST_B3U-1000P;1;Learn;;;
34;U1;Everlight_IRM-H6xxT;1;IRM-H638T;;;
35;U2;TQFP-44_10x10mm_P0.8mm;1;ATmega32U4-A;;;
36;U3;SOT-23;1;MCP1700-3.3V;;;
37;Y1;Crystal_SMD_3215-2Pin_3.2x1.5mm;1;16MHz;;;
