Ref,Val,Package,PosX,PosY,Rot,Side
"C1","100nF","C_0402_1005Metric",138.510000,-140.730000,180.000000,bottom
"C2","100nF","C_0402_1005Metric",147.570000,-131.430000,180.000000,bottom
"C3","1uF","C_0402_1005Metric",159.665200,-139.709200,180.000000,bottom
"C4","1F/5.5V","C_1210_3225Metric",164.855600,-141.230000,-90.000000,bottom
"C5","1uF","C_0402_1005Metric",159.664400,-145.230000,180.000000,bottom
"C6","1uF","C_0402_1005Metric",142.340000,-124.300000,90.000000,bottom
"C7","100nF","C_0402_1005Metric",142.250000,-127.600000,90.000000,bottom
"C8","100nF","C_0402_1005Metric",147.030000,-116.430000,180.000000,bottom
"C9","100nF","C_0402_1005Metric",157.010000,-119.930000,-90.000000,bottom
"C10","22pF","C_0402_1005Metric",162.665700,-113.133400,180.000000,bottom
"C11","22pF","C_0402_1005Metric",147.520000,-114.950000,90.000000,bottom
"D3","BAT54","D_SOD-323",133.527100,-54.017000,90.000000,bottom
"D4","BAT54","D_SOD-323",151.664400,-136.730000,-90.000000,bottom
"D5","BAT54","D_SOD-323",163.327400,-53.936900,90.000000,bottom
"J2","USB_C_Receptacle_USB2.0_14P","USB_C_Receptacle_HRO_TYPE-C-31-M-12",148.510000,-143.730000,180.000000,bottom
"Q1","Q_NPN","SOT-23",146.035000,-53.355000,0.000000,bottom
"R1","100","R_0402_1005Metric",138.510000,-143.230000,180.000000,bottom
"R2","10k","R_0402_1005Metric",145.510000,-115.940000,-90.000000,bottom
"R4","1k","R_0402_1005Metric",145.600000,-56.260000,180.000000,bottom
"R5","10","R_0805_2012Metric",143.010000,-50.730000,90.000000,bottom
"R6","22","R_0402_1005Metric",140.790000,-123.140000,0.000000,bottom
"R7","5.1k","R_0402_1005Metric",149.818700,-137.240000,-90.000000,bottom
"R8","5.1k","R_0402_1005Metric",146.664400,-137.240000,-90.000000,bottom
"R9","10k","R_0402_1005Metric",157.010000,-127.430000,-90.000000,bottom
"U1","IRM-H638T","Everlight_IRM-H6xxT",132.685000,-142.005000,180.000000,bottom
"U2","ATmega32U4-A","TQFP-44_10x10mm_P0.8mm",149.510000,-123.930000,0.000000,bottom
"U3","MCP1700-3.3V","SOT-23",159.664400,-142.230000,90.000000,bottom
"Y1","16MHz","Crystal_SMD_HC49-SD",155.000000,-113.100000,0.000000,bottom
"D1","Green","LED_0603_1608Metric",159.010000,-144.230000,180.000000,top
"J1","Solar_Panel","SolderWire-0.5sqmm_1x02_P4.6mm_D0.9mm_OD2.1mm",136.010000,-50.230000,180.000000,top
"J3","Solar_Panel_Back","SolderWire-0.5sqmm_1x02_P4.6mm_D0.9mm_OD2.1mm",161.010000,-50.230000,0.000000,top
"R3","330","R_0402_1005Metric",156.510000,-144.230000,0.000000,top
"SW1","Power","SW_SPST_B3SL-1002P",136.510000,-86.230000,0.000000,top
"SW2","Up","SW_SPST_B3SL-1002P",148.510000,-86.230000,0.000000,top
"SW3","Mute","SW_SPST_B3SL-1002P",160.510000,-86.230000,0.000000,top
"SW4","Left","SW_SPST_B3SL-1002P",136.510000,-98.230000,0.000000,top
"SW5","Select","SW_SPST_B3SL-1002P",148.510000,-98.230000,0.000000,top
"SW6","Right","SW_SPST_B3SL-1002P",160.510000,-98.230000,0.000000,top
"SW7","Vol-","SW_SPST_B3SL-1002P",136.510000,-110.230000,0.000000,top
"SW8","Down","SW_SPST_B3SL-1002P",148.510000,-110.230000,0.000000,top
"SW9","Vol+","SW_SPST_B3SL-1002P",160.510000,-110.230000,0.000000,top
"SW10","Back","SW_SPST_B3SL-1002P",136.510000,-122.230000,0.000000,top
"SW11","Home","SW_SPST_B3SL-1002P",148.510000,-122.230000,0.000000,top
"SW12","Source","SW_SPST_B3SL-1002P",160.510000,-122.230000,0.000000,top
"SW13","C1","SW_SPST_B3SL-1002P",136.510000,-134.230000,0.000000,top
"SW14","C2","SW_SPST_B3SL-1002P",148.510000,-134.230000,0.000000,top
"SW15","Learn","SW_SPST_B3SL-1002P",160.510000,-134.230000,0.000000,top
"U4","E6QYDD1204-IRA940NM","LED-SMD_L3.2-W2.1-R-FD",149.230000,-49.814576,0.000000,top
