"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"B";"KEY-SMD_4P-L2.6-W1.6-P0.80-LS3.0";1;"Boot";;;
2;"C1, C4, C16, C21, C37";"C_0805_2012Metric";5;"10uF";;;
3;"C2, C3, C5, C7, C8, C9, C10, C13, C17, C18, C20, C22, C23, C24, C26, C31, C32, C33, C34, C36";"C_0402_1005Metric";20;"0.1uF";;;
4;"C6, C14, C25";"C_0402_1005Metric";3;"1uF";;;
5;"C19";"C_0805_2012Metric";1;"4.7uF";;;
6;"C27, C28, C38";"C_0402_1005Metric";3;"10pF";;;
7;"C29";"C_0402_1005Metric";1;"0.5pF";;;
8;"C30";"C_0402_1005Metric";1;"1.2pF";;;
9;"D1, D2, D5";"LED_0402_1005Metric";3;"Red";;;
10;"D3, D6";"LED_0402_1005Metric";2;"Green";;;
11;"D4, D7";"LED_0402_1005Metric";2;"Blue";;;
12;"F1";"Fuse_0402_1005Metric";1;"1.1A PTC";;;
13;"FB1";"L_0402_1005Metric";1;"33R@100MHz";;;
14;"J1";"USB_C_Receptacle_Amphenol_12401610E4-2A_CircularHoles";1;"USB_C_Receptacle_USB2.0_14P";;;
15;"J2";"JST_ZH_B2B-ZR_1x02_P1.50mm_Vertical";1;"JST-PH Battery";;;
16;"J4";"microSD_HC_Hirose_DM3D-SF";1;"Micro_SD";;;
17;"L1";"L_0402_1005Metric";1;"2.7nH";;;
18;"MK2";"InvenSense_ICS-43434-6_3.5x2.65mm";1;"ICS-43434";;;
19;"Q2, Q3";"SOT-23";2;"BC817";;;
20;"R";"KEY-SMD_4P-L2.6-W1.6-P0.80-LS3.0";1;"RESET";;;
21;"R1, R2";"R_0402_1005Metric";2;"5.1k";;;
22;"R3";"R_0402_1005Metric";1;"2k";;;
23;"R4, R9, R16";"R_0402_1005Metric";3;"100k";;;
24;"R5";"R_0402_1005Metric";1;"20k";;;
25;"R6, R7, R8, R14, R19, R22, R23, R24, R25";"R_0402_1005Metric";9;"10k";;;
26;"R10, R20, R21, R26";"R_0402_1005Metric";4;"330R";;;
27;"R11, R12, R13";"R_0402_1005Metric";3;"470R";;;
28;"R15";"R_0402_1005Metric";1;"0R";;;
29;"TP2, TP3, TP4, TP6, TP7, TP8, TP9";"TestPoint_Pad_1.0x1.0mm";7;"TestPoint";;;
30;"U1";"SOT-23-5";1;"AP2112K-3.3";;;
31;"U2";"QFN-20-1EP_4x4mm_P0.5mm_EP2.5x2.5mm";1;"MCP73871";;;
32;"U3";"Bosch_LGA-8_2.5x2.5mm_P0.65mm_ClockwisePinNumbering";1;"BME280";;;
33;"U5";"SOT-23-6";1;"USBLC6-2SC6";;;
34;"U6";"QFN-24-1EP_4x4mm_P0.5mm_EP2.6x2.6mm";1;"CP2102N-QFN24";;;
35;"U7";"SOIC-8_5.3x5.3mm_P1.27mm";1;"W25Q128JVSIQ";;;
36;"U8";"ANT-SMD_L3.2-W1.6";1;"ANT3216LL00R2400A";;;
37;"U9";"SMD-18_L10.1-W9.7-P1.10-TL_SKG09F";1;"MAX-M10S-00B";;;
38;"U10";"QFN-56-1EP_7x7mm_P0.4mm_EP4x4mm";1;"ESP32-S3";;;
39;"U11";"LGA-14_3x2.5mm_P0.5mm_LayoutBorder3x4y";1;"LSM6DS3";;;
40;"U12";"WLCSP-12_1.56x1.56mm_P0.4mm";1;"BMM150";;;
41;"U13";"ANT-SMD_L3.2-W1.6-2";1;"W3011";;;
42;"Y1";"Crystal_SMD_WE_IQXC-240-4Pin_1.2x1.0mm";1;"40MHz";;;
